NO LON-DEG LON-MIN LON-SEC LON-EW LAT-DEG LAT-MIN LAT-SEC LAT-NS CITY_NAME CNTRY_NAME POP
172 159° 58' 58.8051" E 59° 04' 58.8075" N Palana Russia 3671
173 110° 25' 33.6158" E 6° 58' 15.6144" S Semarang Indonesia 1288084
174 29° 22' 00.1320" E 3° 04' 59.8837" S Bubanza Burundi 12728
175 103° 30' 32.4015" E 16° 25' 40.7892" N Kalasin Thailand 55102
176 177° 28' 48.9088" E 64° 45' 18.9722" N Anadyr Russia 10332
177 30° 09' 46.7866" E 3° 05' 59.9857" S Karusi Burundi 10705
178 103° 17' 52.8154" E 16° 11' 02.3927" N Maha-Sarakham Thailand 51584
179 110° 22' 08.3943" E 7° 47' 49.1891" S Yogyakarta Indonesia 636660
180 29° 36' 43.1943" E 3° 15' 39.5894" S Muramvya Burundi 18041
181 103° 39' 17.9941" E 16° 03' 03.5854" N Roi-Et Thailand 39328
182 102° 42' 07.1904" E 25° 03' 03.5856" N Kunming China 1023674
183 29° 21' 21.6084" E 3° 22' 19.2108" S Bujumbura Burundi 331700
184 171° 22' 03.5739" E 7° 07' 15.5282" N Majuro Marshall-Is. 20500
185 102° 02' 24.0083" E 15° 47' 52.7894" N Chaiyaphum Thailand 58350
186 29° 55' 59.8741" E 3° 25' 59.8870" S Gitega Burundi 23167
187 103° 06' 43.2047" E 14° 59' 45.5930" N Buriram Thailand -999
188 30° 14' 38.3871" E 3° 28' 51.6070" S Ruyigi Burundi 38458
189 108° 17' 45.6048" E 22° 50' 16.8146" N Nanning China 803788
190 133° 55' 47.9653" E 23° 37' 48.0144" S Alice-Springs Australia 26188
191 158° 13' 00.1426" E 6° 58' 00.1271" N Palikir Micronesia 4645
192 30° 38' 56.3867" E 0° 36' 21.5889" S Mbarara Uganda -999
193 172° 55' 16.0083" E 1° 20' 26.7251" N Tarawa Kiribati 44429
194 104° 56' 00.0256" E 22° 49' 59.9986" N Ha-Giang Vietnam 32690
195 102° 06' 07.2123" E 14° 58' 08.3931" N Nakhon-Ratchasima Thailand 208781
196 103° 29' 49.2120" E 14° 53' 09.6003" N Surin Thailand 46673
197 28° 31' 40.8085" E 0° 45' 25.1962" S Buluko Congo;-DRC -999
198 115° 51' 10.8159" E 31° 57' 21.6109" S Perth Australia 1446704
199 106° 16' 04.8158" E 22° 39' 50.3927" N Cao-Bang Vietnam 41112
200 29° 37' 47.9943" E 1° 30' 03.6074" S Ruhengeri Rwanda 86685
201 141° 20' 45.5651" E 43° 03' 18.0037" N Sapporo Japan 1883027
202 29° 15' 25.2086" E 1° 41' 41.9894" S Gisenyi Rwanda 83623
203 104° 58' 00.1324" E 13° 49' 00.1234" N Phnum-Tbeng-Meanchey Cambodia 24380
204 140° 45' 00.0050" E 40° 48' 59.9943" N Aomori Japan 298394
205 103° 57' 00.0011" E 22° 30' 00.0001" N Lao-Cai Vietnam 36502
