ID,CITY_NAME,CNTRY_NAME,STATUS,FIPS_CNTRY,POP,POP_RANK,POP_CLASS
1486,Jinotepe,Nicaragua,Provincial capital,NU,29507,7,Less than 50;000
1487,Ibadan,Nigeria,Other,NI,3565108,2,1;000;000 to 4;999;999
1488,Rivas,Nicaragua,Provincial capital,NU,30293,7,Less than 50;000
1489,Akure,Nigeria,Provincial capital,NI,420594,4,250;000 to 499;999
1490,Abeokuta,Nigeria,Provincial capital,NI,593100,3,500;000 to 999;999
1491,Yuscaran,Honduras,Provincial capital,HO,2371,7,Less than 50;000
1492,Lagos,Nigeria,Other,NI,9000000,1,5;000;000 and greater
1493,Ocotal,Nicaragua,Provincial capital,NU,33928,7,Less than 50;000
1494,Ilorin,Nigeria,Provincial capital,NI,814192,3,500;000 to 999;999
1495,Somoto,Nicaragua,Provincial capital,NU,20316,7,Less than 50;000
1496,Jinotega,Nicaragua,Provincial capital,NU,51073,6,50;000 to 99;999
1497,Abomey,Benin,Provincial capital,BN,82154,6,50;000 to 99;999
1498,Esteli,Nicaragua,Provincial capital,NU,96422,6,50;000 to 99;999
1499,Matagalpa,Nicaragua,Provincial capital,NU,109089,5,100;000 to 249;999
1500,Merida,Mexico,Provincial capital,MX,717175,3,500;000 to 999;999
1501,Kpalime,Togo,Provincial capital,TO,95974,6,50;000 to 99;999
1502,Chetumal,Mexico,Provincial capital,MX,134412,5,100;000 to 249;999
1503,Corozal,Belize,Provincial capital,BH,8724,7,Less than 50;000
1504,Lokossa,Benin,Provincial capital,BN,86971,6,50;000 to 99;999
1505,Orange Walk,Belize,Provincial capital,BH,15298,7,Less than 50;000
1506,Belize,Belize,Provincial capital,BH,61461,6,50;000 to 99;999
1507,Porto Novo,Benin,National and provincial capital,BN,234168,5,100;000 to 249;999
1508,El Cayo,Belize,Provincial capital,BH,-999,7,Less than 50;000
1509,Ho,Ghana,Provincial capital,GH,69998,6,50;000 to 99;999
1510,Belmopan,Belize,National capital,BH,13381,7,Less than 50;000
1511,Cotonou,Benin,Provincial capital,BN,690584,3,500;000 to 999;999
1512,Lome,Togo,National and provincial capital,TO,749700,3,500;000 to 999;999
1513,Stann Creek Town,Belize,Provincial capital,BH,-999,7,Less than 50;000
1514,Flores,Guatemala,Provincial capital,GT,20464,7,Less than 50;000
1515,Grand Turk,Turks & Caicos Is.,National and provincial capital,TK,3720,7,Less than 50;000
1516,Port-De-Paix,Haiti,Provincial capital,HA,-999,7,Less than 50;000
1517,Monte Cristi,Dominican Republic,Provincial capital,DR,-999,7,Less than 50;000
1518,Puerto Plata,Dominican Republic,Provincial capital,DR,-999,7,Less than 50;000
1519,Cap-Haitien,Haiti,Provincial capital,HA,134815,5,100;000 to 249;999
1520,Santa Marta,Colombia,Provincial capital,CO,431781,4,250;000 to 499;999
1521,Camaguey,Cuba,Provincial capital,CU,347562,4,250;000 to 499;999
1522,Victoria De Las Tunas,Cuba,Provincial capital,CU,-999,7,Less than 50;000
1523,Holguin,Cuba,Provincial capital,CU,319102,4,250;000 to 499;999
1524,Manzanillo,Cuba,Provincial capital,CU,128188,5,100;000 to 249;999
1525,Guantanamo,Cuba,Provincial capital,CU,272801,4,250;000 to 499;999
1526,Santiago De Cuba,Cuba,Provincial capital,CU,555865,3,500;000 to 999;999
1527,Jeremie,Haiti,Provincial capital,HA,30917,7,Less than 50;000
1528,Les Cayes,Haiti,Provincial capital,HA,59319,6,50;000 to 99;999
1529,Falmouth,Jamaica,Provincial capital,JM,7779,7,Less than 50;000
1530,Montego Bay,Jamaica,Provincial capital,JM,82867,6,50;000 to 99;999
1531,Lucea,Jamaica,Provincial capital,JM,6289,7,Less than 50;000
1532,Savanna La Mar,Jamaica,Provincial capital,JM,-999,7,Less than 50;000
1533,Mandeville,Jamaica,Provincial capital,JM,47115,7,Less than 50;000
1534,Black River,Jamaica,Provincial capital,JM,4229,7,Less than 50;000
1535,Halfway Tree,Jamaica,Provincial capital,JM,-999,7,Less than 50;000
1536,St. Anns Bay,Jamaica,Provincial capital,JM,-999,7,Less than 50;000
1537,Port Maria,Jamaica,Provincial capital,JM,7906,7,Less than 50;000
1538,Port Antonio,Jamaica,Provincial capital,JM,-999,7,Less than 50;000
1539,Spanish Town,Jamaica,Provincial capital,JM,145018,5,100;000 to 249;999
1540,May Pen,Jamaica,Provincial capital,JM,44755,7,Less than 50;000
1541,Koszalin,Poland,Provincial capital,PL,107450,5,100;000 to 249;999
1542,Erzurum,Turkey,Provincial capital,TU,420691,4,250;000 to 499;999
1543,Jendouba,Tunisia,Provincial capital,TS,51408,6,50;000 to 99;999
1544,Szczecin,Poland,Provincial capital,PL,407811,4,250;000 to 499;999
1545,Rimnicu Vilcea,Romania,Provincial capital,RO,107558,5,100;000 to 249;999
1546,Ismailia,Egypt,Provincial capital,EG,284813,4,250;000 to 499;999
